sku,name,barcode,family_id,family,id_group,group,Esistenza,Scarto,stock_quantity,Esercizio,Listino1,Listino2,Listino3
8708,"GRAPPA CABERNET BROTTO CL.500",803156,5,GRAPPA,032,DISTILLATI,"1,000",2,"-1,000",2021,"23,47500","25,82500","15,65000"
8848,"GRAPPA RIESLING AMPOLLA 500",80462514,5,GRAPPA,032,DISTILLATI,"1,000",2,"-1,000",2021,"27,22500","29,93500","18,14000"
8915,"GRAPPA RABOSO BROTTO ML.500",80558378,5,GRAPPA,032,DISTILLATI,"6,000",2,"4,000",2021,"23,08500","25,38500","15,39000"
9428,"RUM PAMPERO ESPECIAL LT. 1  40° ///",8410005460068,8,RUM,032,DISTILLATI,"60,000",2,"58,000",2021,"15,71500","17,29500","10,47000"
9431,"RUM PAMPERO SELECTION CL. 70 ///",8028286000301,8,RUM,032,DISTILLATI,"8,000",2,"6,000",2021,"15,30500","16,84500","10,20000"
9514,"RUM HAVANA CLUB 7 Y CL.70 ///",8501110089722,8,RUM,032,DISTILLATI,"92,000",2,"90,000",2021,"20,41500","22,46500","15,34700"
9557,"RUM PAMPERO BLANCO LT. 1 ///",8028286000226,8,RUM,032,DISTILLATI,"57,000",2,"55,000",2021,"12,47500","13,72500","8,31000"
7241,"MISTRA' BELLINI  LT. 2",8007525117000,13,LIQUORI,010,"AMARI E LIQUORI","8,000",2,"6,000",2021,"14,96500","16,46500","11,25000"
7860,"MISTRA' VARNELLI  LT. 1  XXXXX ///",80114628,13,LIQUORI,010,"AMARI E LIQUORI","334,000",2,"332,000",2021,"15,24500","16,16500","13,60300"
8894,"GRAPPA MERLOT BROTTO ML.500",80514060,5,GRAPPA,032,DISTILLATI,"1,000",2,"-1,000",2021,"27,72500","30,50500","18,48000"
