Codice;Descrizione1;BarCode;IDFamiglia;Famiglia;IDGruppo;Gruppo;Esistenza;Scarto;EsistenzaNetta;Esercizio;Listino 1;Listino2;ListinoLM
000000000247649;GIN MALFY AROMATIC DRY ARANCIA CL.70 41°;853222006226;11;GIN;032;DISTILLATI;12,000;2;10,000;2021;27,50500;30,26500;19,64000
000000000247651;GIN MALFY DRY CL.70;853222006189;11;GIN;032;DISTILLATI;17,000;0;17,000;2021;25,34500;27,88500;18,10000
000000000247699;WHISKY LAPHROAIG SELECT CL.70;5010019637604;9;WHISKY;032;DISTILLATI;8,000;2;6,000;2021;26,33500;28,97500;21,06400
000000000247759;VINO RATINO IGP BOMBINO PUGLIA 13° CL.75 COPPADORO;8054392880032;14;VINO BIANCO;009;VINI;289,000;2;287,000;2021;5,78500;6,36500;3,30000
000000000247761;VINO ROSA DI SALSOLA IGP PUGLIA NERO DI TROIA ROSATO 12° CL.75 COPPADORO;8054392880049;97;VINO ROSATO;009;VINI;17,000;2;15,000;2021;5,78500;6,36500;3,30000
000000000247765;VINO STIBADIUM 2014 NERO DI TROIA IGP PUGLIA 14° CL.75 COPPADORO;8055348461107;15;VINO ROSSO;009;VINI;16,000;2;14,000;2021;23,63500;26,00500;13,50000
000000000247769;VINO LA VIE EN D'OR SPUMANTE BRUT METODO CLASSICO CL.75 COPPADORO;8054392880537;00118;PROSECCO/SPUMANTE;033;BOLLICINE;27,000;2;25,000;2021;12,25500;13,48500;7,00000
000000000247770;VINO LA VIE EN D'OR SPUMANTE ROSE' METODO CLASSICO CL.75 COPPADORO;8054392880216;00118;PROSECCO/SPUMANTE;033;BOLLICINE;23,000;2;21,000;2021;12,25500;13,48500;7,00000
000000000242495;VINO PASSERINA IGT ( SELEZ.) VILLA ANGELA CL.75 12.5° VELENOSI ///;8025127000995;14;VINO BIANCO;009;VINI;68,000;2;66,000;2021;6,55500;7,21500;4,92300
000000000242567;VINO RIBOLLA GIALLA 2019 CL.75 JERMANN ///;8033324037317;14;VINO BIANCO;009;VINI;20,000;2;18,000;2021;15,83500;17,42500;11,90000
000000000242626;RUM J WRAY GOLD/KINGSTON62 LT.1 ///;5024576192209;8;RUM;032;DISTILLATI;26,000;2;24,000;2021;12,26500;13,49500;9,81000
000000000242628;WILD TURKEY RARE BREED CL.70 ///;721059000246;9;WHISKY;032;DISTILLATI;4,000;0;4,000;2021;37,72500;41,50500;25,14500
000000000242664;VODKA ZUBROWKA LT.1 ///;5900343005319;7;VODKA;032;DISTILLATI;4,000;2;2,000;2021;17,99500;19,80500;11,99300
000000000242669;FABBRI TOPPING ARANCIA GR.950 ///;8001780530277;00121;TOPPING;011;SCIROPPI/TOPPING;3,000;2;1,000;2021;7,84500;8,61500;5,22000
000000000242680;COGNAC LEOPOLD GOURMEL L'AGE DES FLEURS CL.70 C/AS;3502150000024;00111;COGNAC;032;DISTILLATI;1,000;0;1,000;2021;158,72500;174,60500;105,81000
