ID,COD,Nome
10467,000000000250223,"Franciacorta Contadi Castaldi Brut Cl.150"
10469,000000000243407,"Monin Bitter Analcolico Cl.70"
10470,3014,"Martini Rosso  Cl. 100"
10477,000000000236762,"Grappa Ori Cuvee Cl.70 Giori"
10479,000000000250169,"Tequila Reposado Altos 100% Agave 38° Cl.70"
10481,000000000242983,"Vodka Beluga 40° Cl.5"
10484,000000000249457,"Vodka Milosc Pesca 20° Lt.1"
10486,000000000250218,"Rum Plantation Overproof 69° Cl.70"
10487,000000000243754,"Rum Captain Morgan 35° Lt.1"
10488,000000000241159,"Wild Turkey 81 Proof Cl.70"
10489,000000000241900,"Whisky Dalwhinnie Distillers Edition Cl.70 D.Su.312"
10491,000000000249180,"Whisky Caol Ila Distillers Edition Cl.70"
10492,000000000248769,"Samaroli Whisky Sherry Blended Scotch 43° Cl.70"
10495,1718,"Whisky Bushmills Black Cl. 70"
10496,1691,"Whisky Bowmore 15 Y.O. Islay Cl. 70"
10497,1667,"Whisky Glenfiddich 12 Years Cl.70"
10498,000000000250248,"Whisky Singl Malt Scotch Mortlach 16 Years The Beast Dufftown 43,4° Cl.70 Con Astuccio"
10499,000000000250249,"Whisky Singl Malt Scotch Mortlach 15 Years 46° Cl.70 Con Astuccio Game Of Thrones"
10500,000000000250250,"Whisky John Walker & Sons King George V 43° Cl.70 Con Astuccio"
10501,1603,"Whisky Scotch Dalwhinnie Cl.70 15 Years"
10502,000000000250245,"Whisky Johnnie Walker Blue Label Year Of Pig Cl.70"
10503,000000000249918,"Vino Rondineto Cerasuolo 2019 Cl.75 12.5°  Savini"
10504,000000000248224,"Vino Calafuria Salento 2019 Cl.75 Tormaresca"
10505,000000000248280,"Vino Sagrantino Di Montefalco Docg Passito Cl.50 14° Napolini"
10506,000000000244465,"Vino Moscadello Di Montalcino 2013 Florus Cl.50 Banfi"
11030,000000000242978,"Champagne Jacquart Cl.75 12.5° Con Astuccio Xxx"
11031,000000000243816,"Prosecco Brut 11.5° Cl.75 D.O.C.G. Col Vetoraz"
11032,000000000243817,"Prosecco Extra Dry 11.5° Cl.75 D.O.G.C. Col Vetoraz"
11033,000000000243819,"Prosecco Millesimato 11.5° Cl.75  D.O.C.G. Col Vetoraz"
11034,000000000243873,"Prosecco Sgajo Doc 11.5° Cl.75 Perlage"
11035,000000000243875,"Prosecco Col Di Manza Docg 11.5°  Cl.75 Perlage"
11036,000000000243876,"Prosecco Animae Cl.75 D.O.C.G. Perlage"
11037,000000000242036,"Champagne Krug Cl.75 Con Astuccio + 2 Bicchieri"
11038,000000000033470,"Champagne Bollinger Cl.75"
11039,000000000238089,"Champagne Mumm Gran Cordon Cl.75 Xxx"
11040,000000000238029,"Champagne Ruinart Rose' Cl.75 12.5° Xxx"
11041,000000000238805,"Champagne Veuve Clicquot Magnum Cl.150 Xxxx"
11042,000000000239053,"Champagne Ruinart Blanc De Blancs Cl.75 12.5° Xxx"
11043,000000000240686,"Prosecco Nino Franco Rive San Floriano D.O.C.G. 12°  Cl.75"
11044,000000000241200,"Prosecco Martini Cl.75"
11045,000000000248191,"Prosecco Bandarossa Extra Dry D.O.C.G. Cl.75 Bortolomiol"
11046,000000000244250,"Prosecco Extra Dry Cl.75 D.O.C.G. De Faveri"
11047,000000000243839,"Prosecco Galie' 11°  Cl.75 Astoria"
11048,000000000248133,"Grappa Barrique Barocca Cl.70 40° Lucano"
11049,000000000246418,"San Leonardo Grappa Villa Gresti 2013"
11050,000000000248461,"Marzadro Grappa 18 Lune Riserva Porto Cl.70"
11052,000000000244895,"Grappa Ligneum Of Miele Di Tiglio Bonollo Cl.70 40°"
11054,000000000241425,"Grappa Amarone Of Barrique Bonollo Cl 70 42°"
11056,000000000239066,"Marzadro Grappa Gewurztraminer Cl.70 Giare"
11057,000000000238799,"Marzadro Grappa 18 Lune Magnum Cl.150"
11058,000000000243539,"Tequila Herradura Blanco 40° Cl.70"
11059,000000000243540,"Tequila Milagro 40° Cl.70"
11060,000000000243833,"Cachaca Germana Caetano'S Umburana 40° Cl.70"
11063,000000000245769,"Pisco Capel Moai Reservado 40° Cl.70"
11069,000000000242085,"Vodka Beluga Noble Russian Lt.1,5"
11070,000000000242086,"Vodka Beluga Gold Line Cl.70 Con Astuccio Cuoio Nero"
11071,000000000250351,"Rum Depaz Cask Strength 2002 Cl.70 61,6°"
11072,000000000250996,"Rum Blended Aged Zaka Panama Limited Edition 42° Cl.70 Con Astuccio"
11073,000000000250997,"Rum Blended Aged Zaka Trinidad Limited Edition 42° Cl.70 Con Astuccio"
11074,000000000250998,"Rum Blended Aged Zaka Mauritius 7Y Limited Edition 42° Cl.70 Con Astuccio"
11075,000000000251016,"Bumbu Rum Xo Cl.70 40° CAstuccio"
11076,000000000242933,"Rum Japanese Ryoma 40° Cl.70"
11077,000000000243513,"Rum Appleton Estate 21Y 43° Cl. 70"
11078,000000000247907,"Rum Baron Samedi 40° Cl.70"
11080,000000000248572,"Rum Zacapa Centenario Reserva Limitada 2019 L.V. Con Astuccio(Diageo)"
11082,000000000240212,"Vino Cerasuolo D'Abruzzo Doc 2018 Doc.Villa Gemma Cl.75 14,5° Masciarelli"
11083,000000000241338,"Vino Cerasuolo D'Abruzzo Doc Tralcetto 2019 Cl.75 14° Zaccagnini"
11084,000000000247091,"Vino Rosato Nerello Mascalese Cl.75 Molino A Vento Tenute Orestiadi"
11085,000000000247761,"Vino Rosa Di Salsola Igp Puglia Nero Di Troia Rosato 12° Cl.75 Coppadoro"
11086,000000000248208,"Vino Tertulia Cerasuolo D'Abruzzo Doc 2019 Cl.75 12.5° Savini"
11087,000000000245625,"Vino Cerasuolo D'Abruzzo Doc 14° Cl.75 Pietramore"
11088,000000000244591,"Vino Liquoroso Santo Spirito 16° Cl.75 Frescobaldi"
11089,000000000249068,"Vino Torcolato Cl.375 Maculan"
11090,000000000247189,"Vino Moscato Di Pantelleria Kabir Cl.375 11,5° Donna Fugata"
11091,000000000247190,"Vino Moscato Di Pantelleria Kabir Cl.75 11,5° Donna Fugata"
11092,000000000237904,"Vino Moscato Liquoroso Alagna Cl.75"
11093,000000000241816,"Vino Ben Rye' Passito Di Pantelleria Dop Cl.375  Donna Fugata"
11261,000000000244717,"Cognac Grand Champagne Vsop N. 10 Ragnaud-Sabourin 41° Cl.70"
11262,000000000244613,"Cognac Grand Champagne Frapin V.S.O.P 40° Cl.70"
11263,000000000250326,"Cognac Tesseron Lotto N.65 Xo Emotion Decanter Cl.70 Con Ast."
11267,000000000243478,"Fee Brothers 1864 Old Fashion Bitters 150 Ml"
11268,000000000242971,"Bitter Chuncho 40° 75 Ml."
11274,000000000243794,"Vino Gewurztraminer 2019 Cl.75 La Vis"
11280,000000000241526,"Vino Vermentino Vign'Angena Igt Cl.75 14° Capichera"
11281,000000000234251,"Vino Trebbiano D'Abruzzo 2019 Doc Cl.75  Masciarelli"
11282,000000000234604,"Vino Bianco Di Ciccio Igt Tralcetto 2019 Cl.75 11,5° Zaccagnini"
11283,000000000236460,"Vino Sylvaner Doc Cl.75 Abbazia Di Novacella"
11284,000000000236461,"Vino Gewurztraminer Doc Cl 75 Abbazia Di Novacella"
11288,000000000238514,"Vino Bianco Villa Gemma Igt Cl.75 Masciarelli"
11289,000000000238547,"Vino Fiano Di Avellino 2018 Docg Cl.75 Mastroberardino"
11290,000000000239246,"Vino Cervaro Della Sala Cl.75  13.5° 2017 Umbria Igt Antinori"
11291,000000000239556,"Vino Pecorino Doc Cl.75 13° Pasetti"
11292,000000000241288,"Vino Muffato Della Sala Cl.50 Antinori"
11293,000000000241380,"Vino Verdicchio Atavico Doc S/Solfiti Cl.75 Moncaro"
11296,000000000248929,"Vino Bianco Toscana 2019 Igt Cl.75  12° Villa Antinori"
11297,000000000248930,"Vino Bianco Orvieto 2019 Superiore Cl.75 12.5° San Giovanni Antinori"
11328,000000000244042,"Vino Ribolla Gialla Cl.75 Pitars"
11329,000000000244043,"Vino Sauvignon Doc Cl.75 Pitars"
11330,000000000244044,"Vino Traminer Aromatico Cl.75 Pitars"
11331,000000000243414,"Vino Langhe Doc Arneis 13° Cl.75 Ceretto"
11336,000000000242155,"Le Caniette Lucrezia Igt 2019 Passerina  Cl.75 13°"
