sku;image_url;title;category;price;inventory_quantity;status
1652;https://maracana.info/1318/cap-new-era-port-city-roasters.jpg;CAP NEW ERA PORT CITY ROASTERS;CAPPELLI;29;12;1
1651;https://maracana.info/1319/cap-new-era-fresno-grizzlies.jpg;CAP NEW ERA FRESNO GRIZZLIES;CAPPELLI;29;12;1
1650;https://maracana.info/1320/cap-new-era-hartford-yard.jpg;CAP NEW ERA HARTFORD YARD;CAPPELLI;29;10;1
1649;https://maracana.info/1315/cap-new-era-delmarva-shore-birds.jpg;CAP NEW ERA DELMARVA SHORE BIRDS;CAPPELLI;29;11;1
1648;https://maracana.info/1314/cap-new-era-wisrat-minor-league.jpg;CAP NEW ERA WISRAT MINOR LEAGUE;CAPPELLI;29;12;1
1647;https://maracana.info/1313/cap-new-era-charleston-alley-cats.jpg;CAP NEW ERA CHARLESTON ALLEY CATS;CAPPELLI;25;12;1
1646;https://maracana.info/1312/cap-new-era-flamingo-miami.jpg;CAP NEW ERA FLAMINGO MIAMI;CAPPELLI;25;12;1
1645;https://maracana.info/1311/cap-new-era-stars-minor-league.jpg;CAP NEW ERA STARS MINOR LEAGUE;CAPPELLI;25;12;1
1644;https://maracana.info/1310/cap-new-era-safsea.jpg;CAP  NEW ERA SAFSEA;CAPPELLI;25;12;1
1641;https://maracana.info/1306/tshirt-new-era-lakers-colour-blocksleeve.jpg;TSHIRT NEW ERA LAKERS COLOUR BLOCKSLEEVE;TSHIRT;39;39;1
1640;https://maracana.info/1305/tshirt-new-era-bulls-colour-block-sleeve.jpg;TSHIRT NEW ERA BULLS COLOUR BLOCK SLEEVE;TSHIRT;39;41;1
1568;https://maracana.info/1105/cap-new-era-duffy.jpg;CAP NEW ERA DUFFY;CAPPELLI;25;5;1
1567;https://maracana.info/1103/cap-new-era-bugs-bunny.jpg;CAP NEW ERA BUGS BUNNY;CAPPELLI;25;9;1
1566;https://maracana.info/1104/cap-new-era-tom-and-jerry.jpg;CAP NEW ERA TOM AND JERRY;CAPPELLI;25;11;1
1561;https://maracana.info/1159/cap-new-era-boston-celtics.jpg;CAP NEW ERA BOSTON CELTICS;CAPPELLI;29;20;1
1560;https://maracana.info/1162/cap-new-era-39-thirty-patriots.jpg;CAP NEW ERA 39 THIRTY PATRIOTS;CAPPELLI;35;12;1
1559;https://maracana.info/1163/cap-new-era-diamond-lakers.jpg;CAP NEW ERA DIAMOND LAKERS;CAPPELLI;29;5;1
1558;https://maracana.info/1164/cap-new-era-diamond-bucks.jpg;CAP NEW ERA DIAMOND BUCKS;CAPPELLI;29;12;1
1557;https://maracana.info/1165/cap-new-era-la.jpg;CAP NEW ERA LA;CAPPELLI;25;9;1
1555;https://maracana.info/1160/cap-new-era-39-thirty-panthers.jpg;CAP NEW ERA 39 THIRTY PANTHERS;CAPPELLI;35;22;1
1554;https://maracana.info/1166/cap-new-era-39-thirty-eagles.jpg;CAP NEW ERA 39 THIRTY EAGLES;CAPPELLI;35;18;1
1530;https://maracana.info/1194/cap-new-era-bucket.jpg;CAP NEW ERA BUCKET;CAPPELLI;35;0;1
1529;https://maracana.info//beanie-new-era-ny.jpg;BEANIE NEW ERA NY;Home;25;0;1
1508;https://maracana.info/980/cap-ny-logo-piccolo.jpg;Cappello New Era 9Forty Yankees Logo Piccolo con Visiera;CAPPELLI;25;0;1
1464;https://maracana.info/562/beanie-new-era-ponpon-jaguar.jpg;BEANIE NEW ERA PONPON JAGUAR;Home;28;0;1
1463;https://maracana.info/930/beanie-new-era-ny.jpg;BEANIE NEW ERA YANKEES;BEANIE;25;0;1
1462;https://maracana.info/563/beanie-pon-pon-patriots-new-era.jpg;BEANIE PON PON  PATRIOTS NEW ERA;Home;28;1;1
1461;https://maracana.info//beanie-new-era-celtics-aw18.jpg;BEANIE NEW ERA CELTICS AW18;Home;28;0;1
1460;https://maracana.info//beanie-pon-pon-patriots-new-era.jpg;BEANIE PON PON PATRIOTS NEW ERA;Home;28;2;1
1459;https://maracana.info/564/beanie-new-era-pon-pon-seahawks.jpg;BEANIE NEW ERA PON PON SEAHAWKS;Home;28;0;1
1457;https://maracana.info//beanie-new-era-patriots.jpg;BEANIE NEW ERA PATRIOTS;Home;28;0;1
1456;https://maracana.info/565/beanie-new-era-pon-pon-bulls.jpg;BEANIE NEW ERA PON PON BULLS;Home;28;1;1
1455;https://maracana.info//beanie-new-era-ny-pon-pon.jpg;BEANIE NEW ERA NY PON PON;Home;28;2;1
1454;https://maracana.info/575/beanie-new-era-raiders.jpg;BEANIE NEW ERA RAIDERS;Home;28;2;1
1453;https://maracana.info/567/beanie-new-era-lakers-ponpon.jpg;BEANIE NEW ERA LAKERS PONPON;Home;28;1;1
1452;https://maracana.info/568/beanie-new-era-celtics-pon-pon.jpg;BEANIE NEW ERA CELTICS PON PON;Home;28;2;1
1395;https://maracana.info/569/beanie-new-era-patriots.jpg;BEANIE NEW ERA PATRIOTS;Home;25;2;1
1394;https://maracana.info/570/beanie-new-era-pon-pon-red-sox.jpg;BEANIE NEW ERA PON PON RED SOX;Home;25;5;1
1393;https://maracana.info/571/beanie-new-era-pon-pon-red-skin.jpg;BEANIE NEW ERA PON PON RED SKIN;Home;29;0;1
1392;https://maracana.info/572/beanie-new-era-pon-pon-carolina.jpg;BEANIE NEW ERA PON PON CAROLINA;Home;25;0;1
1391;https://maracana.info/573/beanie-new-era-pon-pon-raiders.jpg;BEANIE NEW ERA PON PON RAIDERS;Home;25;0;1
1390;https://maracana.info/574/beanie-new-era-pon-pon-cavaliers.jpg;BEANIE NEW ERA PON PON CAVALIERS;Home;25;3;1
1345;https://maracana.info/526/t-shirt-new-era-lakers.jpg;T SHIRT NEW ERA LAKERS;TSHIRT;30;56;1
1344;https://maracana.info/495/hoodie-new-era-bucks.jpg;HOODIE NEW ERA BUCKS;FELPE;65;4;1
1343;https://maracana.info/496/hoodie-new-era-miami-heat.jpg;HOODIE NEW ERA MIAMI HEAT;FELPE;65;7;1
1342;https://maracana.info/498/hoodie-new-era-dolphin.jpg;HOODIE NEW ERA DOLPHIN;FELPE;65;18;1
1337;https://maracana.info/576/cap-new-era-orioles.jpg;CAP NEW ERA ORIOLES;CAPPELLI;25;8;1
1336;https://maracana.info/601/cap-new-era-bulls-black-edition.jpg;CAP NEW ERA BULLS BLACK EDITION;CAPPELLI;25;19;1
1335;https://maracana.info/577/cap-new-era-lakers.jpg;CAP NEW ERA LAKERS;CAPPELLI;25;29;1
1334;https://maracana.info/579/cap-new-era-lakers-black-edition.jpg;CAP NEW ERA LAKERS BLACK EDITION;CAPPELLI;25;29;1
1333;https://maracana.info/578/cap-new-era-boston-celtics.jpg;CAP NEW ERA BOSTON CELTICS;CAPPELLI;25;27;1
