reference;image;name;category_defalt;associations_categories;price;quantity;active;state;null
1561;https://maracana.info/1159/cap-new-era-boston-celtics.jpg;CAP NEW ERA BOSTON CELTICS;9;7#9;29;20;1;1;
1560;https://maracana.info/1162/cap-new-era-39-thirty-patriots.jpg;CAP NEW ERA 39 THIRTY PATRIOTS;9;7#9;35;12;1;1;
1559;https://maracana.info/1163/cap-new-era-diamond-lakers.jpg;CAP NEW ERA DIAMOND LAKERS;9;7#9;29;5;1;1;
1558;https://maracana.info/1164/cap-new-era-diamond-bucks.jpg;CAP NEW ERA DIAMOND BUCKS;9;7#9;29;12;1;1;
1557;https://maracana.info/1165/cap-new-era-la.jpg;CAP NEW ERA LA;9;7#9;25;9;1;1;
1555;https://maracana.info/1160/cap-new-era-39-thirty-panthers.jpg;CAP NEW ERA 39 THIRTY PANTHERS;9;7#9;35;22;1;1;
1554;https://maracana.info/1166/cap-new-era-39-thirty-eagles.jpg;CAP NEW ERA 39 THIRTY EAGLES;9;7#9;35;18;1;1;
1530;https://maracana.info/1194/cap-new-era-bucket.jpg;CAP NEW ERA BUCKET;9;7#9;35;0;1;1;
1529;https://maracana.info//beanie-new-era-ny.jpg;BEANIE NEW ERA NY;11;7#11;25;0;1;1;
1508;https://maracana.info/980/cap-ny-logo-piccolo.jpg;Cappello New Era 9Forty Yankees Logo Piccolo con Visiera;9;7#9;25;0;1;1;
1464;https://maracana.info/562/beanie-new-era-ponpon-jaguar.jpg;BEANIE NEW ERA PONPON JAGUAR;11;7#11;28;0;1;1;
1463;https://maracana.info/930/beanie-new-era-ny.jpg;BEANIE NEW ERA YANKEES;11;7#11;25;0;1;1;
1462;https://maracana.info/563/beanie-pon-pon-patriots-new-era.jpg;BEANIE PON PON  PATRIOTS NEW ERA;11;7#11;28;1;1;1;
1461;https://maracana.info//beanie-new-era-celtics-aw18.jpg;BEANIE NEW ERA CELTICS AW18;11;7#11;28;0;1;1;
1460;https://maracana.info//beanie-pon-pon-patriots-new-era.jpg;BEANIE PON PON PATRIOTS NEW ERA;11;7#11;28;2;1;1;
1459;https://maracana.info/564/beanie-new-era-pon-pon-seahawks.jpg;BEANIE NEW ERA PON PON SEAHAWKS;11;7#11;28;0;1;1;
1457;https://maracana.info//beanie-new-era-patriots.jpg;BEANIE NEW ERA PATRIOTS;11;7#11;28;0;1;1;
1456;https://maracana.info/565/beanie-new-era-pon-pon-bulls.jpg;BEANIE NEW ERA PON PON BULLS;11;7#11;28;1;1;1;
1455;https://maracana.info//beanie-new-era-ny-pon-pon.jpg;BEANIE NEW ERA NY PON PON;11;7#11;28;2;1;1;
1454;https://maracana.info/575/beanie-new-era-raiders.jpg;BEANIE NEW ERA RAIDERS;11;7#11;28;2;1;1;
1453;https://maracana.info/567/beanie-new-era-lakers-ponpon.jpg;BEANIE NEW ERA LAKERS PONPON;11;7#11;28;1;1;1;
1452;https://maracana.info/568/beanie-new-era-celtics-pon-pon.jpg;BEANIE NEW ERA CELTICS PON PON;11;7#11;28;2;1;1;
1395;https://maracana.info/569/beanie-new-era-patriots.jpg;BEANIE NEW ERA PATRIOTS;11;7#11;25;2;1;1;
1394;https://maracana.info/570/beanie-new-era-pon-pon-red-sox.jpg;BEANIE NEW ERA PON PON RED SOX;11;7#11;25;5;1;1;
1393;https://maracana.info/571/beanie-new-era-pon-pon-red-skin.jpg;BEANIE NEW ERA PON PON RED SKIN;11;7#11;29;0;1;1;
1392;https://maracana.info/572/beanie-new-era-pon-pon-carolina.jpg;BEANIE NEW ERA PON PON CAROLINA;11;7#11;25;0;1;1;
1391;https://maracana.info/573/beanie-new-era-pon-pon-raiders.jpg;BEANIE NEW ERA PON PON RAIDERS;11;7#11;25;0;1;1;
1390;https://maracana.info/574/beanie-new-era-pon-pon-cavaliers.jpg;BEANIE NEW ERA PON PON CAVALIERS;11;7#11;25;3;1;1;
1345;https://maracana.info/526/t-shirt-new-era-lakers.jpg;T SHIRT NEW ERA LAKERS;10;7#10;30;56;1;1;
1344;https://maracana.info/495/hoodie-new-era-bucks.jpg;HOODIE NEW ERA BUCKS;13;7#13;65;4;1;1;
1343;https://maracana.info/496/hoodie-new-era-miami-heat.jpg;HOODIE NEW ERA MIAMI HEAT;13;7#13;65;7;1;1;
1342;https://maracana.info/498/hoodie-new-era-dolphin.jpg;HOODIE NEW ERA DOLPHIN;13;7#13;65;18;1;1;
1337;https://maracana.info/576/cap-new-era-orioles.jpg;CAP NEW ERA ORIOLES;9;7#9;25;8;1;1;
1336;https://maracana.info/601/cap-new-era-bulls-black-edition.jpg;CAP NEW ERA BULLS BLACK EDITION;9;7#9;25;19;1;1;
1335;https://maracana.info/577/cap-new-era-lakers.jpg;CAP NEW ERA LAKERS;9;7#9;25;29;1;1;
1334;https://maracana.info/579/cap-new-era-lakers-black-edition.jpg;CAP NEW ERA LAKERS BLACK EDITION;9;7#9;25;29;1;1;
1333;https://maracana.info/578/cap-new-era-boston-celtics.jpg;CAP NEW ERA BOSTON CELTICS;9;7#9;25;27;1;1;
1292;https://maracana.info//pantaloncino-new-era-panters.jpg;PANTALONCINO NEW ERA PANTERS;12;7#12;19;2;1;1;
1291;https://maracana.info//pantaloncino-new-era-raiders.jpg;PANTALONCINO NEW ERA RAIDERS;12;7#12;19;1;1;1;
1245;https://maracana.info/500/hoodie-new-era-bulls.jpg;HOODIE NEW ERA BULLS;13;7#13;65;8;1;1;
1244;https://maracana.info//sweatshirt-new-era-seahwks.jpg;SWEATSHIRT NEW ERA SEAHWKS;13;7#13;60;1;1;1;
1243;https://maracana.info//hoodie-zip-new-era-red-skin.jpg;HOODIE ZIP NEW ERA RED SKIN;13;7#13;60;1;1;1;
1242;https://maracana.info//pant-tuta-new-era-raiders.jpg;PANT TUTA NEW ERA RAIDERS;14;7#14;50;0;1;1;
