Product ID;Immagine;Nome;Categoria;Prezzo (tasse escl.);Prezzo (tasse incl.);Quantità;Stato
1652;https://maracana.info/1318/cap-new-era-port-city-roasters.jpg;CAP NEW ERA PORT CITY ROASTERS;CAPPELLI;23,77;29;12;0
1651;https://maracana.info/1319/cap-new-era-fresno-grizzlies.jpg;CAP NEW ERA FRESNO GRIZZLIES;CAPPELLI;23,77;29;12;0
1650;https://maracana.info/1320/cap-new-era-hartford-yard.jpg;CAP NEW ERA HARTFORD YARD;CAPPELLI;23,77;29;10;0
1649;https://maracana.info/1315/cap-new-era-delmarva-shore-birds.jpg;CAP NEW ERA DELMARVA SHORE BIRDS;CAPPELLI;23,77;29;11;0
1648;https://maracana.info/1314/cap-new-era-wisrat-minor-league.jpg;CAP NEW ERA WISRAT MINOR LEAGUE;CAPPELLI;23,77;29;12;0
1647;https://maracana.info/1313/cap-new-era-charleston-alley-cats.jpg;CAP NEW ERA CHARLESTON ALLEY CATS;CAPPELLI;20,49;25;12;0
1646;https://maracana.info/1312/cap-new-era-flamingo-miami.jpg;CAP NEW ERA FLAMINGO MIAMI;CAPPELLI;20,49;25;12;0
1645;https://maracana.info/1311/cap-new-era-stars-minor-league.jpg;CAP NEW ERA STARS MINOR LEAGUE;CAPPELLI;20,49;25;12;0
1644;https://maracana.info/1310/cap-new-era-safsea.jpg;CAP  NEW ERA SAFSEA;CAPPELLI;20,49;25;12;0
1641;https://maracana.info/1306/tshirt-new-era-lakers-colour-blocksleeve.jpg;TSHIRT NEW ERA LAKERS COLOUR BLOCKSLEEVE;TSHIRT;31,97;39;39;0
1640;https://maracana.info/1305/tshirt-new-era-bulls-colour-block-sleeve.jpg;TSHIRT NEW ERA BULLS COLOUR BLOCK SLEEVE;TSHIRT;31,97;39;41;0
1568;https://maracana.info/1105/cap-new-era-duffy.jpg;CAP NEW ERA DUFFY;CAPPELLI;20,49;25;5;0
1567;https://maracana.info/1103/cap-new-era-bugs-bunny.jpg;CAP NEW ERA BUGS BUNNY;CAPPELLI;20,49;25;9;0
1566;https://maracana.info/1104/cap-new-era-tom-and-jerry.jpg;CAP NEW ERA TOM AND JERRY;CAPPELLI;20,49;25;11;0
1561;https://maracana.info/1159/cap-new-era-boston-celtics.jpg;CAP NEW ERA BOSTON CELTICS;CAPPELLI;23,77;29;20;0
1560;https://maracana.info/1162/cap-new-era-39-thirty-patriots.jpg;CAP NEW ERA 39 THIRTY PATRIOTS;CAPPELLI;28,69;35;12;0
1559;https://maracana.info/1163/cap-new-era-diamond-lakers.jpg;CAP NEW ERA DIAMOND LAKERS;CAPPELLI;23,77;29;5;0
1558;https://maracana.info/1164/cap-new-era-diamond-bucks.jpg;CAP NEW ERA DIAMOND BUCKS;CAPPELLI;23,77;29;12;0
1557;https://maracana.info/1165/cap-new-era-la.jpg;CAP NEW ERA LA;CAPPELLI;20,49;25;9;0
